x_m,y_m
24.8,0
24.9,0
25,0
25.1,0
25.2,0
25.3,0
25.4,0
25.5,0
25.6,0
25.7,0
25.8,0
25.9,0
26,0
26.1,0
26.2,0
26.3,0
26.4,0
26.5,0
26.6,0
26.7,0
26.8,0
26.9,0
27,0
27.1,0
27.2,0
27.3,0
27.4,0
27.5,0
27.6,0
27.7,0
27.8,0
27.9,0
28,0
28.1,0
28.2,0
28.3,0
28.4,0
28.5,0
28.6,0
28.7,0
28.8,0
28.9,0
29,0
29.1,0
29.2,0
29.3,0
29.4,0
29.5,0
29.6,0
29.7,0
29.8,0
29.9,0
30,0
30.1,0
30.2,0
30.3,0
30.4,0
30.5,0
30.6,0
30.7,0
30.8,0
30.9,0
31,0
31.1,0
31.2,0
31.3,0
31.4,0
31.5,0
31.6,0
31.7,0
31.8,0
31.9,0
32,0
32.1,0
32.2,0
32.3,0
32.4,0
32.5,0
32.6,0
32.7,0
32.8,0
32.9,0
33,0
33.1,0
33.2,0
33.3,0
33.4,0
33.5,0
33.6,0
33.7,0
33.8,0
33.9,0
34,0
34.1,0
34.2,0
34.3,0
34.4,0
34.5,0
34.6,0
34.7,0
34.8,0
34.9,0
35,0
35.1,0
35.2,0
35.3,0
35.4,0
35.5,0
35.6,0
35.7,0
35.8,0
35.9,0
36,0
36.1,0
36.2,0
36.3,0
36.4,0
36.5,0
36.6,0
36.7,0
36.8,0
36.9,0
37,0
37.1,0
37.2,0
37.3,0
37.4,0
37.5,0
37.6,0
37.7,0
37.8,0
37.9,0
38,0
38.1,0
38.2,0
38.3,0
38.4,0
38.5,0
38.6,0
38.7,0
38.8,0
38.9,0
39,0
39.1,0
39.2,0
39.3,0
39.4,0
39.5,0
39.6,0
39.7,0
39.8,0
39.9,0
40,0
40.1,0
40.2,0
40.3,0
40.4,0
40.5,0
40.6,0
40.7,0
40.8,0
40.9,0
41,0
41.1,0
41.2,0
41.3,0
41.4,0
41.5,0
41.6,0
41.7,0
41.8,0
41.9,0
42,0
42.1,0
42.2,0
42.3,0
42.4,0
42.5,0
42.6,0
42.7,0
42.8,0
42.9,0
43,0
43.1,0
43.2,0
43.3,0
43.4,0
43.5,0
43.6,0
43.7,0
43.8,0
43.9,0
44,0
44.1,0
44.2,0
44.3,0
44.4,0
44.5,0
44.6,0
44.7,0
44.8,0
44.9,0
45,0
45.1,0
45.2,0
45.3,0
45.4,0
45.5,0
45.6,0
45.7,0
45.8,0
45.9,0
46,0
46.1,0
46.2,0
46.3,0
46.4,0
46.5,0
46.6,0
46.7,0
46.8,0
46.9,0
47,0
47.1,0
47.2,0
47.3,0
47.4,0
47.5,0
47.6,0
47.7,0
47.8,0
47.9,0
48,0
48.1,0
48.2,0
48.3,0
48.4,0
48.5,0
48.6,0
48.7,0
48.8,0
48.9,0
49,0
49.1,0
49.2,0
49.3,0
49.4,0
49.5,0
49.6,0
49.7,0
49.8,0
49.9,0
50,0
50.1,0
50.2,0
50.3,0
50.4,0
50.5,0
50.6,0
50.7,0
50.8,0
50.9,0
51,0
51.1,0
51.2,0
51.3,0
51.4,0
51.5,0
51.6,0
51.7,0
51.8,0
51.9,0
52,0
52.1,0
52.2,0
52.3,0
52.4,0
52.5,0
52.6,0
52.7,0
52.8,0
52.9,0
53,0
53.1,0
53.2,0
53.3,0
53.4,0
53.5,0
53.6,0
53.7,0
53.8,0
53.9,0
54,0
54.1,0
54.2,0
54.3,0
54.4,0
54.5,0
54.6,0
54.7,0
54.8,0
54.9,0
55,0
55.1,0
55.2,0
55.3,0
55.4,0
55.5,0
55.6,0
55.7,0
55.8,0
55.9,0
56,0
56.1,0
56.2,0
56.3,0
56.4,0
56.5,0
56.6,0
56.7,0
56.8,0
56.9,0
57,0
57.1,0
57.2,0
57.3,0
57.4,0
57.5,0
57.6,0
57.7,0
57.8,0
57.9,0
58,0
58.1,0
58.2,0
58.3,0
58.4,0
58.5,0
58.6,0
58.7,0
58.8,0
58.9,0
59,0
59.1,0
59.2,0
59.3,0
59.4,0
59.5,0
59.6,0
59.7,0
59.8,0
59.9,0
60,0
60.1,0
60.2,0
60.3,0
60.4,0
60.5,0
60.6,0
60.7,0
60.8,0
60.9,0
61,0
61.1,0
61.2,0
61.3,0
61.4,0
61.5,0
61.6,0
61.7,0
61.8,0
61.9,0
62,0
62.1,0
62.2,0
62.3,0
62.4,0
62.5,0
62.6,0
62.7,0
62.8,0
62.9,0
63,0
63.1,0
63.2,0
63.3,0
63.4,0
63.5,0
63.6,0
63.7,0
63.8,0
63.9,0
64,0
64.1,0
64.2,0
64.3,0
64.4,0
64.5,0
64.6,0
64.7,0
64.8,0
64.9,0
65,0
65.1,0
65.2,0
65.3,0
65.4,0
65.5,0
65.6,0
65.7,0
65.8,0
65.9,0
66,0
66.1,0
66.2,0
66.3,0
66.4,0
66.5,0
66.6,0
66.7,0
66.8,0
66.9,0
67,0
67.1,0
67.2,0
67.3,0
67.4,0
67.5,0
67.6,0
67.7,0
67.8,0
67.9,0
68,0
68.1,0
68.2,0
68.3,0
68.4,0
68.5,0
68.6,0
68.7,0
68.8,0
68.9,0
69,0
69.1,0
69.2,0
69.3,0
69.4,0
69.4999999999999,0
69.5999999999999,0
69.6999999999999,0
69.7999999999999,0
69.8999999999999,0
69.9999999999999,0
70.0999999999999,0
70.1999999999999,0
70.2999999999999,0
70.3999999999999,0
70.4999999999999,0
70.5999999999998,0
70.6999999999998,0
70.7999999999998,0
70.8999999999998,0
70.9999999999998,0
71.0999999999998,0
71.1999999999998,0
71.2999999999998,0
71.3999999999998,0
71.4999999999997,0
71.5999999999997,0
71.6999999999997,0
71.7999999999997,0
71.8999999999997,0
71.9999999999997,0
72.0999999999997,0
72.1999999999997,0
72.2999999999997,0
72.3999999999997,0
72.4999999999996,0
72.5999999999996,0
72.6999999999996,0
72.7999999999996,0
72.8999999999996,0
72.9999999999996,0
73.0999999999996,0
73.1999999999996,0
73.2999999999996,0
73.3999999999996,0
73.4999999999995,0
73.5999999999995,0
73.6999999999995,0
73.7999999999995,0
73.8999999999995,0
73.9999999999995,0
74.0999999999995,0
74.1999999999995,0
74.2999999999995,0
74.3999999999995,0
74.4999999999994,0
74.5999999999994,0
74.6999999999994,0
74.7999999999994,0
74.8999999999994,0
74.9999999999994,0
75.0999999999994,0
75.1999999999994,0
75.2999999999994,0
75.3999999999994,0
75.4999999999994,0
75.5999999999993,0
75.6999999999993,0
75.7999999999993,0
75.8999999999993,0
75.9999999999993,0
76.0999999999993,0
76.1999999999993,0
76.2999999999993,0
76.3999999999993,0
76.4999999999993,0
76.5999999999992,0
76.6999999999992,0
76.7999999999992,0
76.8999999999992,0
76.9999999999992,0
77.0999999999992,0
77.1999999999992,0
77.2999999999992,0
77.3999999999992,0
77.4999999999992,0
77.5999999999991,0
77.6999999999991,0
77.7999999999991,0
77.8999999999991,0
77.9999999999991,0
78.0999999999991,0
78.1999999999991,0
78.2999999999991,0
78.3999999999991,0
78.499999999999,0
78.599999999999,0
78.699999999999,0
78.799999999999,0
78.899999999999,0
78.999999999999,0
79.099999999999,0
79.199999999999,0
79.299999999999,0
79.399999999999,0
79.4999999999989,0
79.5999999999989,0
79.6999999999989,0
79.7999999999989,0
79.8999999999989,0
79.9999999999989,0
80.0999999999989,0
80.1999999999989,0
80.2999999999989,0
80.3999999999989,0
80.4999999999989,0
80.5999999999989,0
80.6999999999988,0
80.7999999999988,0
80.8999999999988,0
80.9999999999988,0
81.0999999999988,0
81.1999999999988,0
81.2999999999988,0
81.3999999999988,0
81.4999999999987,0
81.5999999999987,0
81.6999999999987,0
81.7999999999987,0
81.8999999999987,0
81.9999999999987,0
82.0999999999987,0
82.1999999999987,0
82.2999999999987,0
82.3999999999987,0
82.4999999999987,0
82.5999999999987,0
82.6999999999986,0
82.7999999999986,0
82.8999999999986,0
82.9999999999986,0
83.0999999999986,0
83.1999999999986,0
83.2999999999986,0
83.3999999999986,0
83.4999999999986,0
83.5999999999985,0
83.6999999999985,0
83.7999999999985,0
83.8999999999985,0
83.9999999999985,0
84.0999999999985,0
84.1999999999985,0
84.2999999999985,0
84.3999999999985,0
84.4999999999985,0
84.5999999999984,0
84.6999999999984,0
84.7999999999984,0
84.8999999999984,0
84.9999999999984,0
85.0999999999984,0
85.1999999999984,0
85.2999999999984,0
85.3999999999984,0
85.4999999999984,0
85.5999999999984,0
85.6999999999983,0
85.7999999999983,0
85.8999999999983,0
85.9999999999983,0
86.0999999999983,0
86.1999999999983,0
86.2999999999983,0
86.3999999999983,0
86.4999999999982,0
86.5999999999982,0
86.6999999999982,0
86.7999999999982,0
86.8999999999982,0
86.9999999999982,0
87.0999999999982,0
87.1999999999982,0
87.2999999999982,0
87.3999999999982,0
87.4999999999982,0
87.5999999999982,0
87.6999999999981,0
87.7999999999981,0
87.8999999999981,0
87.9999999999981,0
88.0999999999981,0
88.1999999999981,0
88.2999999999981,0
88.3999999999981,0
88.4999999999981,0
88.599999999998,0
88.699999999998,0
88.799999999998,0
88.899999999998,0
88.999999999998,0
89.099999999998,0
89.199999999998,0
89.299999999998,0
89.399999999998,0
89.499999999998,0
89.599999999998,0
89.6999999999979,0
89.7999999999979,0
89.8999999999979,0
89.9999999999979,0
90.0999999999979,0
90.1999999999979,0
90.2999999999979,0
90.3999999999979,0
90.4999999999979,0
90.5999999999978,0
90.6999999999978,0
90.7999999999978,0
90.8999999999978,0
90.9999999999978,0
91.0999999999978,0
91.1999999999978,0
91.2999999999978,0
91.3999999999978,0
91.4999999999978,0
91.5999999999977,0
91.6999999999977,0
91.7999999999977,0
91.8999999999977,0
91.9999999999977,0
92.0999999999977,0
92.1999999999977,0
92.2999999999977,0
92.3999999999977,0
92.4999999999977,0
92.5999999999976,0
92.6999999999976,0
92.7999999999976,0
92.8999999999976,0
92.9999999999976,0
93.0999999999976,0
93.1999999999976,0
93.2999999999976,0
93.3999999999976,0
93.4999999999976,0
93.5999999999975,0
93.6999999999975,0
93.7999999999975,0
93.8999999999975,0
93.9999999999975,0
94.0999999999975,0
94.1999999999975,0
94.2999999999975,0
94.3999999999975,0
94.4999999999974,0
94.5999999999974,0
94.6999999999974,0
94.7999999999974,0
94.8999999999974,0
94.9999999999974,0
95.0999999999974,0
95.1999999999974,0
95.2999999999974,0
95.3999999999974,0
95.4999999999974,0
95.5999999999973,0
95.6999999999973,0
95.7999999999973,0
95.8999999999973,0
95.9999999999973,0
96.0999999999973,0
96.1999999999973,0
96.2999999999973,0
96.3999999999973,0
96.4999999999973,0
96.5999999999972,0
96.6999999999972,0
96.7999999999972,0
96.8999999999972,0
96.9999999999972,0
97.0999999999972,0
97.1999999999972,0
97.2999999999972,0
97.3999999999972,0
97.4999999999972,0
97.5999999999971,0
97.6999999999971,0
97.7999999999971,0
97.8999999999971,0
97.9999999999971,0
98.0999999999971,0
98.1999999999971,0
98.2999999999971,0
98.3999999999971,0
98.4999999999971,0
98.599999999997,0
98.699999999997,0
98.799999999997,0
98.899999999997,0
98.999999999997,0
99.099999999997,0
99.199999999997,0
99.299999999997,0
99.399999999997,0
99.4999999999969,0
99.5999999999969,0
99.6999999999969,0
99.7999999999969,0
99.8999999999969,0
99.9999999999969,0
100.099999999997,0
100.199999999997,0
100.299999999997,0
100.399999999997,0
100.499999999997,0
100.599999999997,0
100.699999999997,0
100.799999999997,0
100.899999999997,0
100.999999999997,0
101.099999999997,0
101.199999999997,0
101.299999999997,0
101.399999999997,0
101.499999999997,0
101.599999999997,0
101.699999999997,0
101.799999999997,0
101.899999999997,0
101.999999999997,0
102.099999999997,0
102.199999999997,0
102.299999999997,0
102.399999999997,0
102.499999999997,0
102.599999999997,0
102.699999999997,0
102.799999999997,0
102.899999999997,0
102.999999999997,0
103.099999999997,0
103.199999999997,0
103.299999999997,0
103.399999999997,0
103.499999999997,0
103.599999999997,0
103.699999999997,0
103.799999999997,0
103.899999999997,0
103.999999999997,0
104.099999999997,0
104.199999999996,0
104.299999999996,0
104.399999999996,0
104.499999999996,0
104.599999999996,0
104.699999999996,0
104.799999999996,0
104.899999999996,0
104.999999999996,0
105.099999999996,0
105.199999999996,0
105.299999999996,0
105.399999999996,0
105.499999999996,0
105.599999999996,0
105.699999999996,0
105.799999999996,0
105.899999999996,0
105.999999999996,0
106.099999999996,0
106.199999999996,0
106.299999999996,0
106.399999999996,0
106.499999999996,0
106.599999999996,0
106.699999999996,0
106.799999999996,0
106.899999999996,0
106.999999999996,0
107.099999999996,0
107.199999999996,0
107.299999999996,0
107.399999999996,0
107.499999999996,0
107.599999999996,0
107.699999999996,0
107.799999999996,0
107.899999999996,0
107.999999999996,0
108.099999999996,0
108.199999999996,0
108.299999999996,0
108.399999999996,0
108.499999999996,0
108.599999999996,0
108.699999999996,0
108.799999999996,0
108.899999999996,0
108.999999999996,0
109.099999999996,0
109.199999999996,0
109.299999999996,0
109.399999999996,0
109.499999999996,0
109.599999999996,0
109.699999999996,0
109.799999999996,0
109.899999999996,0
109.999999999996,0
110.099999999996,0
110.199999999996,0
110.299999999996,0
110.399999999996,0
110.499999999996,0
110.599999999996,0
110.699999999996,0
110.799999999996,0
110.899999999996,0
110.999999999996,0
111.099999999996,0
111.199999999996,0
111.299999999996,0
111.399999999996,0
111.499999999996,0
111.599999999996,0
111.699999999996,0
111.799999999996,0
111.899999999996,0
111.999999999996,0
112.099999999996,0
112.199999999996,0
112.299999999996,0
112.399999999996,0
112.499999999996,0
112.599999999996,0
112.699999999996,0
112.799999999996,0
112.899999999996,0
112.999999999996,0
113.099999999996,0
113.199999999996,0
113.299999999996,0
113.399999999996,0
113.499999999996,0
113.599999999996,0
113.699999999996,0
113.799999999996,0
113.899999999996,0
113.999999999996,0
114.099999999996,0
114.199999999995,0
114.299999999995,0
114.399999999995,0
114.499999999995,0
114.599999999995,0
114.699999999995,0
114.799999999995,0
114.899999999995,0
114.999999999995,0
115.099999999995,0
115.199999999995,0
115.299999999995,0
115.399999999995,0
115.499999999995,0
115.599999999995,0
115.699999999995,0
115.799999999995,0
115.899999999995,0
115.999999999995,0
116.099999999995,0
116.199999999995,0
116.299999999995,0
116.399999999995,0
116.499999999995,0
116.599999999995,0
116.699999999995,0
116.799999999995,0
116.899999999995,0
116.999999999995,0
117.099999999995,0
117.199999999995,0
117.299999999995,0
117.399999999995,0
117.499999999995,0
117.599999999995,0
117.699999999995,0
117.799999999995,0
117.899999999995,0
117.999999999995,0
118.099999999995,0
118.199999999995,0
118.299999999995,0
118.399999999995,0
118.499999999995,0
118.599999999995,0
118.699999999995,0
118.799999999995,0
118.899999999995,0
118.999999999995,0
119.099999999995,0
119.199999999995,0
119.299999999995,0
119.399999999995,0
119.499999999995,0
119.599999999995,0
119.699999999995,0
119.799999999995,0
119.899999999995,0
119.999999999995,0
120.099999999995,0
120.199999999995,0
120.299999999995,0
120.399999999995,0
120.499999999995,0
120.599999999995,0
120.699999999995,0
120.799999999995,0
120.899999999995,0
120.999999999995,0
121.099999999995,0
121.199999999995,0
121.299999999995,0
121.399999999995,0
121.499999999995,0
121.599999999995,0
121.699999999995,0
121.799999999995,0
121.899999999995,0
121.999999999995,0
122.099999999995,0
122.199999999995,0
122.299999999995,0
122.399999999995,0
122.499999999995,0
122.599999999995,0
122.699999999995,0
122.799999999995,0
122.899999999995,0
122.999999999995,0
123.099999999995,0
123.199999999995,0
123.299999999995,0
123.399999999995,0
123.499999999995,0
123.599999999995,0
123.699999999995,0
123.799999999995,0
123.899999999995,0
123.999999999995,0
124.099999999994,0
124.199999999994,0
124.299999999994,0
124.399999999994,0
124.499999999994,0
124.599999999994,0
124.699999999994,0
124.799999999994,0
124.899999999994,0
124.999999999994,0
125.099999999994,0
125.199999999994,0
125.299999999994,0
125.399999999994,0
125.499999999994,0
125.599999999994,0
125.699999999994,0
125.799999999994,0
125.899999999994,0
125.999999999994,0
126.099999999994,0
126.199999999994,0
126.299999999994,0
126.399999999994,0
126.499999999994,0
126.599999999994,0
126.699999999994,0
126.799999999994,0
126.899999999994,0
126.999999999994,0
127.099999999994,0
127.199999999994,0
127.299999999994,0
127.399999999994,0
127.499999999994,0
127.599999999994,0
127.699999999994,0
127.799999999994,0
127.899999999994,0
127.999999999994,0
128.099999999994,0
128.199999999994,0
128.299999999994,0
128.399999999994,0
128.499999999994,0
128.599999999994,0
128.699999999994,0
128.799999999994,0
128.899999999994,0
128.999999999994,0
129.099999999994,0
129.199999999994,0
129.299999999994,0
129.399999999994,0
129.499999999994,0
129.599999999994,0
129.699999999994,0
129.799999999994,0
129.899999999994,0
129.999999999994,0
130.099999999994,0
130.199999999994,0
130.299999999994,0
130.399999999994,0
130.499999999994,0
130.599999999994,0
130.699999999994,0
130.799999999994,0
130.899999999994,0
130.999999999994,0
131.099999999994,0
131.199999999994,0
131.299999999994,0
131.399999999994,0
131.499999999994,0
131.599999999994,0
131.699999999994,0
131.799999999994,0
131.899999999994,0
131.999999999994,0
132.099999999994,0
132.199999999994,0
132.299999999994,0
132.399999999994,0
132.499999999994,0
132.599999999994,0
132.699999999994,0
132.799999999994,0
132.899999999994,0
132.999999999994,0
133.099999999994,0
133.199999999994,0
133.299999999994,0
133.399999999994,0
133.499999999994,0
133.599999999994,0
133.699999999994,0
133.799999999994,0
133.899999999994,0
133.999999999994,0
134.099999999994,0
134.199999999993,0
134.299999999993,0
134.399999999993,0
134.499999999993,0
134.599999999993,0
134.699999999993,0
134.799999999993,0
134.899999999993,0
134.999999999993,0
135.099999999993,0
135.199999999993,0
135.299999999993,0
135.399999999993,0
135.499999999993,0
135.599999999993,0
135.699999999993,0
135.799999999993,0
135.899999999993,0
135.999999999993,0
136.099999999993,0
136.199999999993,0
136.299999999993,0
136.399999999993,0
136.499999999993,0
136.599999999993,0
136.699999999993,0
136.799999999993,0
136.899999999993,0
136.999999999993,0
137.099999999993,0
137.199999999993,0
137.299999999993,0
137.399999999993,0
137.499999999993,0
137.599999999993,0
137.699999999993,0
137.799999999993,0
137.899999999993,0
137.999999999993,0
138.099999999993,0
138.199999999993,0
138.299999999993,0
138.399999999993,0
138.499999999993,0
138.599999999993,0
138.699999999993,0
138.799999999993,0
138.899999999993,0
138.999999999993,0
139.099999999993,0
139.199999999993,0
139.299999999993,0
139.399999999993,0
139.499999999993,0
139.599999999993,0
139.699999999993,0
139.799999999993,0
139.899999999993,0
139.999999999993,0
140.099999999993,0
140.199999999993,0
140.299999999993,0
140.399999999993,0
140.499999999993,0
140.599999999993,0
140.699999999993,0
140.799999999993,0
140.899999999993,0
140.999999999993,0
141.099999999993,0
141.199999999993,0
141.299999999993,0
141.399999999993,0
141.499999999993,0
141.599999999993,0
141.699999999993,0
141.799999999993,0
141.899999999993,0
141.999999999993,0
142.099999999993,0
142.199999999993,0
142.299999999993,0
142.399999999993,0
142.499999999993,0
142.599999999993,0
142.699999999993,0
142.799999999993,0
142.899999999993,0
142.999999999993,0
143.099999999993,0
143.199999999993,0
143.299999999993,0
143.399999999993,0
143.499999999993,0
143.599999999993,0
143.699999999993,0
143.799999999993,0
143.899999999993,0
143.999999999993,0
144.099999999993,0
144.199999999993,0
144.299999999992,0
144.399999999992,0
144.499999999992,0
144.599999999992,0
144.699999999992,0
144.799999999992,0
144.899999999992,0
144.999999999992,0
145.099999999992,0
145.199999999992,0
145.299999999992,0
145.399999999992,0
145.499999999992,0
145.599999999992,0
145.699999999992,0
145.799999999992,0
145.899999999992,0
145.999999999992,0
146.099999999992,0
146.199999999992,0
146.299999999992,0
146.399999999992,0
146.499999999992,0
146.599999999992,0
146.699999999992,0
146.799999999992,0
146.899999999992,0
146.999999999992,0
147.099999999992,0
147.199999999992,0
147.299999999992,0
147.399999999992,0
147.499999999992,0
147.599999999992,0
147.699999999992,0
147.799999999992,0
147.899999999992,0
147.999999999992,0
148.099999999992,0
148.199999999992,0
148.299999999992,0
148.399999999992,0
148.499999999992,0
148.599999999992,0
148.699999999992,0
148.799999999992,0
148.899999999992,0
148.999999999992,0
149.099999999992,0
149.199999999992,0
149.299999999992,0
149.399999999992,0
149.499999999992,0
149.599999999992,0
149.699999999992,0
149.799999999992,0
149.899999999992,0
149.999999999992,0
150.099999999992,0
150.199999999992,0
150.299999999992,0
150.399999999992,0
150.499999999992,0
150.599999999992,0
